Date,increase,Total
20-March-2020,0,1030
21-March-2020,153,1183
22-March-2020,123,1306
23-March-2020,212,1518
24-March-2020,106,1624
25-March-2020,172,1796
26-March-2020,235,2031
27-March-2020,116,2147
28-March-2020,173,2320
29-March-2020,150,2470
30-March-2020,156,2626
31-March-2020,140,2766
1-April-2020,142,2908
2-April-2020,208,3116
3-April-2020,217,3333
4-April-2020,150,3483
5-April-2020,179,3662
6-April-2020,131,3793
7-April-2020,170,3963
8-April-2020,156,4119
9-April-2020,109,4228
10-April-2020,118,4346
11-April-2020,184,4530
12-April-2020,153,4683
13-April-2020,134,4817
14-April-2020,170,4987
15-April-2020,85,5072
16-April-2020,110,5182
17-April-2020,69,5251
18-April-2020,54,5305
19-April-2020,84,5389
20-April-2020,36,5425
21-April-2020,57,5482
22-April-2020,50,5532
23-April-2020,71,5603
24-April-2020,88,5691
25-April-2020,51,5742
26-April-2020,38,5780
27-April-2020,40,5820
28-April-2020,31,5851
29-April-2020,94,5945
30-April-2020,57,6002
1-May-2020,69,6071
2-May-2020,105,6176
3-May-2020,122,6298
4-May-2020,55,6353
5-May-2020,30,6383
6-May-2020,45,6428
7-May-2020,39,6467
8-May-2020,68,6535
9-May-2020,54,6589
10-May-2020,67,6656
11-May-2020,70,6726
12-May-2020,16,6742
13-May-2020,37,6779
14-May-2020,40,6819
15-May-2020,36,6855
16-May-2020,17,6872
17-May-2020,22,6894
18-May-2020,47,6941
19-May-2020,37,6978
20-May-2020,31,7009
21-May-2020,50,7059
22-May-2020,78,7137
23-May-2020,48,7185
24-May-2020,60,7245
25-May-2020,172,7417
26-May-2020,187,7604
27-May-2020,15,7619
28-May-2020,10,7629
29-May-2020,103,7732
30-May-2020,30,7762
31-May-2020,57,7819
1-June-2020,38,7857
2-June-2020,20,7877
3-June-2020,93,7970
4-June-2020,277,8247
5-June-2020,19,8266
6-June-2020,37,8303